#{"t_start": 1783297264.974277, "env_id": "None"}
r,l,t
-496.680754,6,1.412058
-495.329422,3,1.533804
-505.263543,2,1.648539
-494.813556,1,1.728614
-491.194677,4,1.881728
-492.52808,5,2.044856
-497.055285,3,2.178849
-507.740329,1,2.271501
-494.442872,1,2.35223
-502.914362,3,2.475464
-497.901678,1,2.582356
-501.850032,3,2.699478
-491.300715,5,2.866209
-491.754155,7,3.069246
-496.331173,2,3.172565
-495.618205,1,3.248756
-516.171219,4,3.412299
-495.70516,1,3.505012
-500.195171,1,3.587967
-492.880906,3,3.727188
2073.808317,75,5.214707
2156.754016,72,6.800228
2092.949834,71,8.214938
2184.855964,66,9.540686
2007.630871,72,11.119366
2174.146964,69,12.632982
-1077.151615,164,16.125206
2175.194071,68,17.641164
2041.386845,76,19.328737
2190.469426,63,20.59255
2180.75375,62,21.859529
2155.437731,77,23.571308
-420.315433,57,24.75214
-521.763316,2,24.867026
-499.842493,1,24.947297
-498.695251,3,25.085377
-499.694668,1,25.166294
-500.216323,3,25.290911
-498.76487,3,25.426476
-500.17667,3,25.553901
-491.01131,3,25.685602
-499.596142,3,25.812461
-496.22301,3,25.952272
-496.667255,2,26.057146
-502.920692,2,26.169231
-497.784457,1,26.256538
-500.326213,3,26.378471
-486.448061,5,26.548515
-489.171498,3,26.674515
-497.981363,4,26.821259
-496.970142,1,26.914902
-496.030041,4,27.072859
-495.79283,1,27.159425
-495.521665,2,27.265774
-497.918636,1,27.347651
-504.501908,4,27.498864
-497.7642,3,27.629516
-493.289253,3,27.764254
-482.46221,3,27.885303
-495.066243,1,27.970981
-497.277933,3,28.10454
-501.024121,1,28.201363
-491.405678,4,28.360113
-490.379693,4,28.515338
-476.188021,5,28.687277
-504.120082,3,28.806096
-497.808298,1,28.885224
-502.391717,1,28.988292
-495.775176,2,29.089935
-495.659694,1,29.171157
-510.573209,4,29.326803
-494.790669,1,29.40442
-509.119469,3,29.53279
-496.774255,2,29.650412
-496.299225,2,29.763333
-505.479386,3,29.89368
-494.951932,1,29.971847
-501.782239,2,30.080476
-500.265515,1,30.162893
2196.771605,61,31.509856
2187.767595,65,33.003317
2086.997768,80,34.756844
2103.515614,76,36.337409
1990.581616,88,38.251812
2053.599932,78,40.012127
2185.51411,62,41.393024
2094.771695,75,43.036882
2087.157692,65,44.500151
-499.733822,1,44.581125
-500.677833,3,44.721425
-495.594068,1,44.799823
-494.068506,3,44.927794
2179.698646,71,46.505701
2062.309842,72,48.053395
2055.502732,73,49.795272
-447.43396,18,50.240211
-516.455677,1,50.331868
-501.278249,1,50.424266
-516.633721,1,50.516727
-495.240693,1,50.607045
-526.018571,2,50.728359
-497.483423,1,50.924857
-491.764708,2,51.040064
-500.708458,5,51.209791
-501.13332,1,51.296995
-508.164974,3,51.427891
-497.597969,1,51.514637
-499.490427,3,51.663125
-487.278351,3,51.792373
-392.593171,60,53.145538
-501.417416,1,53.236801
-497.553526,1,53.330202
-499.910014,3,53.471199
2129.364265,77,55.174121
2175.278496,69,56.674141
-495.275922,1,56.764171
-489.52074,3,56.888442
-502.73515,4,57.05429
-497.432505,1,57.141212
-502.925207,3,57.260371
-502.02387,3,57.408647
454.583782,300,63.905177
-560.0,1,64.006913
-620.0,2,64.122275
-500.279753,1,64.204794
-498.328866,1,64.304293
-498.091277,1,64.382814
-493.866621,1,64.47848
-501.070144,1,64.571085
-491.590636,2,64.679464
-496.130204,3,64.80287
-496.735241,5,64.985066
-523.872239,3,65.123969
-507.606217,2,65.229182
-493.872598,3,65.35966
-486.797511,3,65.490569
-731.07868,300,72.147573
-560.0,1,72.245337
-560.0,1,72.337379
-499.141186,1,72.427374
-502.16156,1,72.513858
-495.846276,1,72.593451
-495.23555,1,72.687774
-495.653719,1,72.771134
-500.222934,1,72.854683
-485.725326,3,72.988366
-504.491548,4,73.13346
