#{"t_start": 1783432005.917335, "env_id": "None"}
r,l,t
2197.951007,79,3.050156
2125.771664,66,4.460783
2043.912403,73,6.08659
2178.626289,72,7.629064
2153.702208,68,9.162924
2163.435877,67,10.620092
2160.32118,72,12.225294
2180.827387,72,13.817721
2171.584991,75,15.471853
2086.846234,71,17.035661
-842.686834,139,19.896151
2182.351173,68,21.381232
1986.949146,83,23.346208
2022.047733,79,25.445424
2096.858194,68,26.975194
2182.48797,69,28.583939
2154.640989,66,30.087825
2149.81618,67,31.609826
2116.251845,61,33.001381
2096.416545,73,34.750843
2176.05391,71,36.684311
2042.165949,70,38.478588
2064.044127,74,40.121599
2118.051441,83,41.981351
2188.381211,63,43.369768
2129.711225,72,44.895713
2104.919606,73,46.657941
2126.661942,68,48.141855
2166.131806,75,49.830355
2045.320318,78,51.640636
2164.223217,79,53.441482
2023.24466,76,55.174117
2055.966358,74,56.887925
2179.152567,70,58.527415
2179.193924,69,60.07922
2161.795113,73,61.731686
2140.398406,65,63.203479
2020.759631,82,65.10855
2102.28069,72,67.126384
2115.761621,83,69.338803
2113.554999,72,70.981139
2178.733169,74,72.755062
2180.550639,72,74.574932
-1419.287468,217,79.568815
-1605.807141,300,87.144102
1987.37147,84,89.131103
2179.066757,67,90.780289
2178.058621,69,92.487023
2159.510653,79,94.214887
2092.771103,76,96.168975
2027.683822,80,97.869745
2181.495606,70,99.646753
2020.667302,80,101.538935
2182.747065,72,103.255273
2186.040637,65,105.244978
2160.81284,80,107.121996
2137.825719,68,109.061815
-503.104558,67,111.119821
2096.698992,69,112.863964
2193.383233,59,114.070598
2175.245193,70,115.708961
1983.611705,84,117.704293
2183.476689,73,119.537229
2240.978095,41,120.472007
2036.222963,107,125.385085
1977.391571,154,131.438751
2052.813845,143,138.448446
2204.498245,54,139.639049
2209.270015,59,142.655371
-207.985449,300,154.172886
-332.042621,300,165.075416
-279.260861,300,175.119725
1691.759855,270,186.355321
2058.848688,113,189.644846
2145.580412,109,193.953446
2227.855076,50,196.124179
2216.370718,55,198.402506
2117.423468,61,200.680738
-327.745795,300,210.925388
2170.74122,48,213.020569
2197.86436,49,215.114468
2060.995241,71,217.655819
2211.009297,47,219.793837
1932.539847,129,224.413405
-512.815846,300,235.698589
2383.84341,66,238.068445
1885.991799,272,247.50062
2428.065611,71,249.990498
-466.513074,300,261.208933
2178.474354,92,264.094613
2265.482146,53,266.250828
-749.823353,297,276.059396
2267.937338,71,279.775271
-202.639689,300,289.876628
2193.015884,78,293.668852
2299.17219,55,294.629172
2037.395511,148,300.849447
2257.536825,46,301.685722
2280.950406,66,304.07056
2250.74273,58,306.393339
-518.49409,300,317.74107
-644.812141,300,329.020788
2322.362988,58,331.308455
-617.858522,210,338.626746
2212.425198,80,341.270686
2297.209324,50,343.363792
-283.738168,300,354.58466
2430.312971,71,357.008458
-806.153062,106,360.128706
-232.258396,300,371.26276
1876.577605,256,380.347372
2249.901733,43,382.649228
2322.730104,75,385.414032
-967.139891,164,390.719438
2328.93673,58,392.971155
-588.867709,300,404.216484
2011.864509,59,406.496189
-549.242838,300,417.582296
-446.614104,50,418.487744
1532.150894,252,427.717647
2120.006448,48,429.787084
1974.720264,54,432.01006
2123.352775,52,434.120105
1864.425422,201,441.247023
2286.112916,73,443.869524
2190.162828,52,446.056922
2289.107866,51,448.172118
2225.296028,64,450.516791
2196.428762,80,453.167762
2179.636946,59,455.421947
-957.626673,300,466.610811
2270.55057,71,469.090104
-186.106293,300,479.056798
2387.313842,70,481.566147
-326.376697,300,493.140245
1626.322788,244,502.382292
1394.31133,295,513.800511
2268.444443,54,514.760786
2249.699472,61,517.015685
2303.519173,81,520.802652
2094.162517,55,521.822753
1838.204968,201,530.108017
2260.079895,44,530.924815
2228.11063,47,533.057186
2376.36001,63,535.445109
1961.992849,128,540.003746
2142.352248,63,542.348778
-1112.495887,192,549.242107
-314.506073,300,560.316551
2314.790422,57,562.613181
2175.731567,67,565.04091
-265.896226,300,574.696413
2161.99043,119,579.049367
2257.880409,47,581.073882
-563.649289,300,592.259184
2228.658344,57,593.310167
-248.231771,300,604.519847
2237.742514,42,606.493869
1991.556855,77,609.064349
2290.075446,57,611.269832
2052.471844,117,615.797762
-828.379247,127,620.389396
-311.857773,300,630.377864
-960.852854,300,641.577419
-450.66206,300,652.848969
2108.682134,55,655.063704
1496.74756,283,664.681389
1669.452472,277,674.073553
-173.999854,300,685.247234
2337.454469,91,689.245417
2256.046685,217,696.64745
1849.490135,105,700.849417
