iteration,timesteps,episodes,goal_rate,goal_rate_ma5,difficulty
1,10000,880,6.82,6.82,0.00
2,20000,674,8.75,7.79,0.00
3,30000,595,14.79,10.12,0.00
4,40000,444,21.17,12.88,0.00
5,50000,430,22.09,14.73,0.00
6,60000,538,15.80,16.52,0.00
7,70000,542,14.21,17.61,0.00
8,80000,556,16.55,17.96,0.00
9,90000,501,20.56,17.84,0.00
10,100000,531,21.85,17.79,0.00
11,110000,590,16.44,17.92,0.00
12,120000,428,18.93,18.86,0.10
13,130000,427,4.22,16.40,0.10
14,140000,278,11.51,14.59,0.10
15,150000,415,6.27,11.47,0.10
16,160000,569,4.92,9.17,0.10
17,170000,364,9.34,7.25,0.10
18,180000,225,15.56,9.52,0.10
19,190000,159,27.04,12.63,0.10
20,200000,259,18.15,15.00,0.10
21,210000,345,12.75,16.57,0.10
22,220000,315,20.32,18.76,0.10
23,230000,326,19.63,19.58,0.10
24,240000,283,34.98,21.17,0.20
25,250000,322,18.94,21.33,0.20
26,260000,170,42.94,27.36,0.30
27,270000,172,30.81,29.46,0.40
28,280000,141,31.21,31.78,0.40
29,290000,308,16.23,28.03,0.40
30,300000,191,28.80,30.00,0.40
31,310000,198,27.78,26.97,0.40
32,320000,198,27.78,26.36,0.40
33,330000,222,24.32,24.98,0.50
34,340000,199,26.63,27.06,0.60
35,350000,52,82.69,37.84,0.60
36,360000,103,36.89,39.66,0.70
37,370000,155,25.16,39.14,0.70
38,380000,101,38.61,42.00,0.70
39,390000,135,29.63,42.60,0.70
40,400000,157,26.11,31.28,0.70
41,410000,97,50.52,34.01,0.70
42,420000,50,80.00,44.97,0.80
43,430000,51,86.27,54.51,0.90
44,440000,49,75.51,63.68,0.90
45,450000,44,75.00,73.46,1.00
46,460000,46,69.57,77.27,1.00
47,470000,48,77.08,76.69,1.00
48,480000,62,66.13,72.66,1.00
49,490000,50,64.00,70.36,1.00
50,500000,54,61.11,67.58,1.00
