iteration,timesteps,episodes,goal_rate,goal_rate_ma5,difficulty
1,10000,99,87.88,87.88,0.10
2,20000,68,67.65,77.76,0.20
3,30000,63,58.73,71.42,0.20
4,40000,55,47.27,65.38,0.30
5,50000,44,40.91,60.49,0.30
6,60000,50,46.00,52.11,0.30
7,70000,48,43.75,47.33,0.30
8,80000,55,47.27,45.04,0.30
9,90000,55,45.45,44.68,0.30
10,100000,48,39.58,44.41,0.30
11,110000,52,38.46,42.90,0.30
12,120000,49,40.82,42.32,0.30
13,130000,47,46.81,42.22,0.30
14,140000,50,26.00,38.33,0.30
15,150000,47,38.30,38.08,0.30
16,160000,44,29.55,36.29,0.30
17,170000,46,34.78,35.09,0.30
18,180000,59,49.15,35.56,0.30
19,190000,53,43.40,39.03,0.30
20,200000,54,57.41,42.86,0.30
21,210000,62,53.23,47.59,0.30
22,220000,53,15.09,43.66,0.30
23,230000,55,50.91,44.01,0.30
24,240000,77,36.36,42.60,0.40
25,250000,50,30.00,37.12,0.40
26,260000,56,41.07,34.69,0.40
27,270000,59,50.85,41.84,0.40
28,280000,58,43.10,40.28,0.40
29,290000,59,42.37,41.48,0.40
30,300000,54,53.70,46.22,0.40
31,310000,53,56.60,49.33,0.40
32,320000,59,47.46,48.65,0.40
33,330000,58,56.90,51.41,0.40
34,340000,66,39.39,50.81,0.40
35,350000,55,58.18,51.71,0.40
36,360000,62,51.61,50.71,0.40
37,370000,59,54.24,52.06,0.40
38,380000,63,44.44,49.57,0.50
39,390000,59,47.46,51.19,0.50
40,400000,55,52.73,50.10,0.50
41,410000,64,53.12,50.40,0.50
42,420000,63,49.21,49.39,0.50
43,430000,58,53.45,51.19,0.50
44,440000,65,60.00,53.70,0.50
45,450000,51,54.90,54.14,0.60
46,460000,53,52.83,54.08,0.60
47,470000,56,58.93,56.02,0.70
48,480000,53,47.17,54.77,0.70
49,490000,50,46.00,51.97,0.70
50,500000,54,40.74,49.13,0.70
